Nombre del producto o servicio,Nombre de la variante,Categoría,SKU,Cantidad,Moneda,Monto,Precio de costo,Utilidad,Margen
DOBLE CHEESE BURGER,,AMERICAN PRIME BURGER,,28,CLP,"258265,00",,,
DOBLE CHEESE BURGER,,,,14,CLP,"153860,00",,,
DOBLE CHEESE BURGER (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,64,CLP,"676489,00",,,
DOBLE OKLAHOMA BURGER,,AMERICAN PRIME BURGER,,6,CLP,"77940,00",,,
DOBLE OKLAHOMA BURGER,,,,1,CLP,"12990,00",,,
DOBLE OKLAHOMA BURGER (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,20,CLP,"259702,00",,,
Extras pagos,,Extras,,20,CLP,"25846,00",,,
Jugos Naturales,Frambuesa,AÇAÍ PRIME,,2,CLP,"7000,00",,,
Jugos Naturales - Chirimoya,,AÇAÍ PRIME,,13,CLP,"45500,00",,,
Jugos Naturales - Chirimoya,,,,2,CLP,"5600,00",,,
Jugos Naturales - Frambuesa,,AÇAÍ PRIME,,15,CLP,"52500,00",,,
Jugos Naturales - Frambuesa,,AÇAÍ PRIME,,25,CLP,"86800,00",,,
Jugos Naturales - Frutos Rojos,,AÇAÍ PRIME,,3,CLP,"10500,00",,,
Jugos Naturales - Frutos rojos,,AÇAÍ PRIME,,22,CLP,"77000,00",,,
Jugos Naturales - Frutos rojos,,,,5,CLP,"17500,00",,,
Jugos Naturales - Mango,,AÇAÍ PRIME,,1,CLP,"3500,00",,,
Jugos Naturales - Mango,,,,2,CLP,"7000,00",,,
Jugos Naturales - Mango,,AÇAÍ PRIME,,17,CLP,"59500,00",,,
Jugos Naturales - Maracuyá,,AÇAÍ PRIME,,5,CLP,"17500,00",,,
Jugos Naturales - Maracuyá,,AÇAÍ PRIME,,13,CLP,"45500,00",,,
OKLAHOMA BURGER,,,,6,CLP,"59940,00",,,
OKLAHOMA BURGER,,AMERICAN PRIME BURGER,,6,CLP,"57942,00",,,
OKLAHOMA BURGER (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,22,CLP,"206798,00",,,
Papas Fritas,Familiar,AMERICAN PRIME BURGER,,5,CLP,"29950,00",,,
Papas Fritas,Individual,AMERICAN PRIME BURGER,,2,CLP,"7182,00",,,
Papas Fritas - Familiar,,AMERICAN PRIME BURGER,,31,CLP,"185690,00",,,
Papas Fritas - Familiar,,,,3,CLP,"17970,00",,,
Papas Fritas - Individual,,AMERICAN PRIME BURGER,,41,CLP,"163590,00",,,
Papas Fritas - Individual,,,,12,CLP,"47880,00",,,
PULLED PORK,,AMERICAN PRIME BURGER,,8,CLP,"77922,00",,,
PULLED PORK (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,14,CLP,"137862,00",,,
SÁNDWICH BRISKET,,AMERICAN PRIME BURGER,,13,CLP,"155870,00",,,
SÁNDWICH BRISKET,,,,3,CLP,"35970,00",,,
SÁNDWICH BRISKET (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,16,CLP,"191840,00",,,
SÁNDWICH DE PASTRAMI,,,,4,CLP,"47960,00",,,
SÁNDWICH DE PASTRAMI,,AMERICAN PRIME BURGER,,10,CLP,"117502,00",,,
SÁNDWICH DE PASTRAMI (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,33,CLP,"393272,00",,,
TEXAS BURGER,,,,9,CLP,"83916,00",,,
TEXAS BURGER,,AMERICAN PRIME BURGER,,18,CLP,"171828,00",,,
TEXAS BURGER (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,79,CLP,"780726,00",,,
Texas Prime,,,,3,CLP,"31176,00",,,
Texas Prime,,AMERICAN PRIME BURGER,,9,CLP,"114312,00",,,
TEXAS PRIME (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,32,CLP,"398793,00",,,
TRADITIONAL BURGER,,,,16,CLP,"129870,00",,,
TRADITIONAL BURGER,,AMERICAN PRIME BURGER,,26,CLP,"208791,00",,,
TRADITIONAL BURGER (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,79,CLP,"774732,00",,,
